Customer_Id,Churn,Gender,Senior_Citizen,Partner,Dependents,Tenure,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_Tv,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Charges_Monthly,Charges_Total,Total_Days,Charges_Daily,Faixa_Valor_Total,Faixa_Charges_Daily,Grupo_Idade,Tenure_Faixa,Grupo,Churn_Label
0002-ORFBO,0.0,Female,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,270,2.197407407407407,500-750,2-3,Não Idoso,0-11,Não Idoso,Não Churn
0003-MKNFE,0.0,Male,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,270,2.008888888888889,500-750,2-3,Não Idoso,0-11,Não Idoso,Não Churn
0004-TLHLJ,1.0,Male,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,120,2.340416666666667,250-500,2-3,Não Idoso,0-11,Não Idoso,Churn
0011-IGKFF,1.0,Male,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,390,3.1739743589743585,1000-1500,3-4,Idoso,12-23,Idoso,Churn
0013-EXCHZ,1.0,Female,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,90,2.971111111111111,250-500,2-3,Idoso,0-11,Idoso,Churn
0013-MHZWF,0.0,Female,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,270,2.1164814814814816,500-750,2-3,Não Idoso,0-11,Não Idoso,Não Churn
0013-SMEOE,0.0,Female,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,2130,3.7109154929577466,2000+,3-4,Idoso,60-71,Idoso,Não Churn
0014-BMAQU,0.0,Male,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,1890,2.8453968253968256,2000+,2-3,Não Idoso,60-71,Não Idoso,Não Churn
0015-UOCOJ,0.0,Female,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,210,1.6207142857142858,250-500,1-2,Idoso,0-11,Idoso,Não Churn
0016-QLJIS,0.0,Female,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,1950,3.055333333333333,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0017-DINOC,0.0,Male,0,0,0,54,0,3,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,1620,1.518858024691358,2000+,1-2,Não Idoso,48-59,Não Idoso,Não Churn
0017-IUDMW,0.0,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,2160,3.915162037037037,2000+,3-4,Não Idoso,,Não Idoso,Não Churn
0018-NYROU,0.0,Female,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,150,2.3433333333333333,250-500,2-3,Não Idoso,0-11,Não Idoso,Não Churn
0019-EFAEP,0.0,Female,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,2160,3.361689814814815,2000+,3-4,Não Idoso,,Não Idoso,Não Churn
0019-GFNTW,0.0,Female,0,0,0,56,0,3,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1680,1.5238690476190475,2000+,1-2,Não Idoso,48-59,Não Idoso,Não Churn
0020-INWCK,0.0,Female,0,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,2130,3.215680751173709,2000+,3-4,Não Idoso,60-71,Não Idoso,Não Churn
0020-JDNXP,0.0,Female,0,1,1,34,0,3,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,1020,1.9541176470588235,1500-2000,1-2,Não Idoso,24-35,Não Idoso,Não Churn
0021-IKXGC,0.0,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,30,2.4033333333333333,0-250,2-3,Idoso,0-11,Idoso,Não Churn
0022-TCJCI,1.0,Male,1,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,1350,2.0677777777777777,2000+,2-3,Idoso,36-47,Idoso,Churn
0023-HGHWL,1.0,Male,1,0,0,1,0,3,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,30,0.8366666666666667,0-250,0-1,Idoso,0-11,Idoso,Churn
0023-UYUPN,0.0,Female,1,1,0,50,1,1,No,3,3,3,3,3,3,One year,0,Electronic check,25.2,1306.3,1500,0.8708666666666667,1000-1500,0-1,Idoso,48-59,Idoso,Não Churn
0023-XUOPT,1.0,Female,0,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,390,3.1169230769230767,1000-1500,3-4,Não Idoso,12-23,Não Idoso,Churn
0027-KWYKW,0.0,Female,0,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,690,2.6810869565217392,1500-2000,2-3,Não Idoso,12-23,Não Idoso,Não Churn
0030-FNXPP,0.0,Female,0,0,0,3,1,0,No,3,3,3,3,3,3,Month-to-month,0,Mailed check,19.85,57.2,90,0.6355555555555555,0-250,0-1,Não Idoso,0-11,Não Idoso,Não Churn
0031-PVLZI,1.0,Female,0,1,1,4,1,0,No,3,3,3,3,3,3,Month-to-month,0,Mailed check,20.35,76.35,120,0.63625,0-250,0-1,Não Idoso,0-11,Não Idoso,Churn
0032-PGELS,1.0,Female,0,1,1,1,0,3,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,30,1.0166666666666666,0-250,1-2,Não Idoso,0-11,Não Idoso,Churn
0036-IHMOT,0.0,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,1650,3.4283333333333332,2000+,3-4,Não Idoso,48-59,Não Idoso,Não Churn
0040-HALCW,0.0,Male,0,1,1,54,1,0,No,3,3,3,3,3,3,Two year,0,Credit card (automatic),20.4,1090.6,1620,0.6732098765432099,1000-1500,0-1,Não Idoso,48-59,Não Idoso,Não Churn
0042-JVWOJ,0.0,Male,0,0,0,26,1,0,No,3,3,3,3,3,3,One year,1,Bank transfer (automatic),19.6,471.85,780,0.6049358974358975,250-500,0-1,Não Idoso,24-35,Não Idoso,Não Churn
0042-RLHYP,0.0,Female,0,1,1,69,1,0,No,3,3,3,3,3,3,Two year,0,Bank transfer (automatic),19.7,1396.9,2070,0.6748309178743962,1000-1500,0-1,Não Idoso,60-71,Não Idoso,Não Churn
0048-LUMLS,0.0,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,1110,2.925720720720721,2000+,2-3,Não Idoso,36-47,Não Idoso,Não Churn
0048-PIHNL,0.0,Female,0,1,0,49,1,0,No,3,3,3,3,3,3,One year,0,Bank transfer (automatic),20.45,900.9,1470,0.6128571428571429,750-1000,0-1,Não Idoso,48-59,Não Idoso,Não Churn
0052-DCKON,0.0,Male,0,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,1980,4.011186868686869,2000+,,Não Idoso,60-71,Não Idoso,Não Churn
0052-YNYOT,0.0,Female,0,0,0,67,1,0,No,3,3,3,3,3,3,One year,0,Electronic check,20.55,1343.4,2010,0.6683582089552239,1000-1500,0-1,Não Idoso,60-71,Não Idoso,Não Churn
0056-EPFBG,0.0,Male,0,1,1,20,0,3,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,600,1.3756666666666666,750-1000,1-2,Não Idoso,12-23,Não Idoso,Não Churn
0057-QBUQH,0.0,Female,0,0,1,43,1,1,No,3,3,3,3,3,3,Two year,1,Electronic check,25.1,1070.15,1290,0.8295736434108528,1000-1500,0-1,Não Idoso,36-47,Não Idoso,Não Churn
0058-EVZWM,0.0,Female,0,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,1650,3.005818181818182,2000+,3-4,Não Idoso,48-59,Não Idoso,Não Churn
0060-FUALY,0.0,Female,0,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,1770,3.1625141242937853,2000+,3-4,Não Idoso,48-59,Não Idoso,Não Churn
0064-SUDOG,0.0,Female,0,1,1,12,1,0,No,3,3,3,3,3,3,Two year,0,Bank transfer (automatic),20.3,224.5,360,0.6236111111111111,0-250,0-1,Não Idoso,12-23,Não Idoso,Não Churn
0064-YIJGF,0.0,Male,0,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,810,2.3814814814814813,1500-2000,2-3,Não Idoso,24-35,Não Idoso,Não Churn
0067-DKWBL,1.0,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,60,1.5183333333333333,0-250,1-2,Idoso,0-11,Idoso,Churn
0068-FIGTF,0.0,Female,0,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,810,2.5666049382716047,2000+,2-3,Não Idoso,24-35,Não Idoso,Não Churn
